Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Which of the following devices do you use to connect to the internet? (Check all that apply) ,,,,,"Overall, how satisfied or dissatisfied are you with our company?",To what extent do you agree with each of the following?,,,
,,,,,,,,,Desktop computer,Laptop computer,Tablet,Smart phone,Other (please specify),Response,The website is easy to use,The information on the website is credible,I will likely return to the website in future,I find the website to be attractive
10858623557,241097711,07/14/2019 06:03:59 PM,07/14/2019 06:04:08 PM, ,,,,,,,Tablet,Smart phone,,Somewhat satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree
10858623386,241097711,07/14/2019 06:03:44 PM,07/14/2019 06:03:55 PM,,,,,,Desktop computer,,,,,Very dissatisfied,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
10858622504,241097659,07/14/2019 06:02:36 PM,07/14/2019 06:02:54 PM, ,,,,,,Laptop computer,,Smart phone,,Somewhat satisfied,Strongly agree,Strongly agree,Undecided,Strongly agree
10858622198,241097659,07/14/2019 06:02:20 PM,07/14/2019 06:02:33 PM, ,,,,,Desktop computer,,,Smart phone,,Somewhat satisfied,Agree,Disagree,Agree,Disagree
10858621248,241097608,07/14/2019 06:01:14 PM,07/14/2019 06:01:33 PM, ,,,,,Desktop computer,,Tablet,,dfsdsf,Neither satisfied nor dissatisfied,Undecided,Agree,Undecided,Undecided
10858621028,241097608,07/14/2019 06:00:58 PM,07/14/2019 06:01:11 PM, ,,,,,,Laptop computer,Tablet,Smart phone,,Very satisfied,Strongly agree,Agree,Strongly agree,Strongly agree
10858620811,241097608,07/14/2019 06:00:42 PM,07/14/2019 06:00:55 PM, ,,,,,Desktop computer,,,Smart phone,,Very dissatisfied,Strongly disagree,Disagree,Strongly disagree,Strongly disagree
10858620129,241097541,07/14/2019 05:59:49 PM,07/14/2019 06:00:03 PM, ,,,,,Desktop computer,Laptop computer,Tablet,,,Somewhat dissatisfied,Undecided,Undecided,Disagree,Undecided
10858619910,241097541,07/14/2019 05:59:32 PM,07/14/2019 05:59:46 PM, ,,,,,Desktop computer,Laptop computer,Tablet,Smart phone,,Neither satisfied nor dissatisfied,Strongly agree,Agree,Undecided,Disagree
10858619681,241097541,07/14/2019 05:58:48 PM,07/14/2019 05:59:28 PM, ,,,,,Desktop computer,Laptop computer,Tablet,,Company device,Very satisfied,Strongly disagree,Disagree,Undecided,Agree
10858616290,241097363,07/14/2019 05:54:37 PM,07/14/2019 05:55:17 PM, ,,,,,,Laptop computer,Tablet,Smart phone,,Somewhat dissatisfied,Agree,Undecided,Undecided,Agree
10858615696,241097363,07/14/2019 05:54:19 PM,07/14/2019 05:54:32 PM, ,,,,,Desktop computer,,,Smart phone,,Somewhat satisfied,Disagree,Undecided,Undecided,Disagree
